S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator
BS Batch 2022,,,,,,
1,MG-4033,"Digital Markeing 
MG Elective-III (CS)",3.0,BCS-8A,Mr. Maaz Zafar Cheema,
2,MG-4033,"Digital Markeing 
MG Elective-III (CS)",3.0,BCS-8B,Mr. Maaz Zafar Cheema,
3,MG-4033,"Digital Markeing 
MG Elective-III (CS)",3.0,BCS-8C,Ms. Tanzeela Akif,
4,MG-4033,"Digital Markeing 
MG Elective-III (CS)",3.0,BCS-8D,Ms. Tanzeela Akif,
5,MG-2007,"Technology Management 
MG Elective-III (CS)",3.0,BCS-8E,Mr. Hammad Majeed,
6,MG-2007,"Technology Management 
MG Elective-III (CS)",3.0,BCS-8F,,
7,MG-2007,"Technology Management 
MG Elective-III (CS)",3.0,BCS-8G,,
8,MG-4011,"Entrepreneurship 
MG Elective-III (CS)",3.0,BCS-8H,Mr. Usman Zafar,
9,MG-4011,"Entrepreneurship 
MG Elective-III (CS)",3.0,BCS-8J,Mr. Usman Zafar,
10,MG-4011,"Entrepreneurship 
MG Elective-III (CS)",3.0,BCS-8K,,
11,MG-4011,"Entrepreneurship 
MG Elective-III (CY)",3.0,BCY-8A,Mr. Hassan Zahid,
12,MG-4011,"Entrepreneurship 
MG Elective-III (CY)",3.0,BCY-8B,Mr. Hassan Zahid,
13,MG-4011,"Entrepreneurship 
MG Elective-III (CY)",3.0,BCY-8C,Mr. Anjum Nisar,
14,MG-4011,"Entrepreneurship 
MG Elective-III (CY)",3.0,BCY-8D,Mr. Anjum Nisar,
15,MG-217,"Financial Management
MG Elective-III (DS)",3.0,BDS-8A,,
16,MG-217,"Financial Management
MG Elective-III (DS)",3.0,BDS-8B,,
17,MG-217,"Financial Management
MG Elective-III (DS)",3.0,BDS-8C,,
18,MG-217,"Financial Management
MG Elective-III (DS)",3.0,BDS-8D,,
19,MG-217,"Financial Management
MG Elective-III (AI) ",3.0,BAI-8A,,
20,MG-217,"Financial Management
MG Elective-III (AI) ",3.0,BAI-8B,,
21,MG-217,"Financial Management
MG Elective-III (AI) ",3.0,BAI-8C,,
22,MG-217,"Financial Management
MG Elective-III (AI) ",3.0,BAI-8D,,
23,MG-4011,"Entrepreneurship 
MG Elective-III  (SE)",3.0,BSE-8A,Dr. Maryam,
24,MG-4011,"Entrepreneurship 
MG Elective-III  (SE)",3.0,BSE-8B,Dr. Maryam,
25,MG-4011,"Entrepreneurship 
MG Elective-III  (SE)",3.0,BSE-8C,,
26,MG-4011,"Entrepreneurship 
MG Elective-III  (SE)",3.0,BSE-8D,,
27,MG-4011,"Entrepreneurship 
MG Elective-III  (SE)",3.0,BSE-8E,,
28,MG-4011,"Entrepreneurship 
MG Elective-III  (SE)",3.0,BSE-8F,,
29,MG-4011,"Entrepreneurship 
MG Elective-III  (SE)",3.0,BSE-8G,,
